Ruang,Luas Ruangan,Waktu penggunaan,Rasio Terpakai,Jumlah AC,Cluster
F001,93.60,8,0.42,2,0
F002,93.60,5.8,0.54,2,0
F003,86.40,6.2,0.47,2,0
F004,86.40,7.6,0.54,2,0
F005,86.40,7.6,0.53,2,0
F007,122.32,7.6,0.49,2,0
F008,95.04,7.4,0.50,2,0
F201,52.37,6.4,0.75,1,0
F202,56.94,5.8,0.63,1,0
F203,73.82,7.4,0.48,2,0
F204,81.55,8.6,01.04,2,1
F205,58.73,7.2,0.45,1,0
F206,63.03,6.2,0.47,1,0
F212,92.06,8.2,0.55,2,0
F213,94.92,8,0.53,2,0
F214,93.25,8,0.48,2,0
F215,94.70,7,0.55,2,0
F301,56.58,4,0.61,1,0
F302,55.61,4.4,0.57,1,0
F303,83.48,7.8,0.48,2,0
F304,84.52,7.8,0.49,2,0
F305,61.70,7,0.72,1,0
F306,62.24,6.8,0.86,1,1
F307,61.86,5.6,0.64,1,0
F308,119.26,8.4,0.57,3,2
F309,93.30,8.6,0.58,2,0
F310,106.94,7.6,0.50,2,0
F311,109.40,7.2,0.43,2,0
E301,46.40,7.4,0.92,1,1
E302,46.66,7.2,0.84,1,1
E303,92.09,8.8,0.52,2,0
E304,94.77,8.2,0.76,2,1
E305,63.40,9,0.80,1,1
E306,62.05,7.6,0.88,1,1
E307,55.95,9.2,0.81,1,1
E308,55.99,8.2,01.06,1,1
E309,48.29,8.4,01.05,1,1
E311,45.96,8.2,0.82,1,1
E312,47.94,8.4,0.57,1,1
E313,103.69,8.2,0.88,2,1
E315,63.34,8.8,1.12,1,1
GK1.101,73.36,9.6,0.79,2,1
GK1.102,77.78,9,0.64,2,1
GK1.103,73.36,8.8,0.75,2,1
GK1.104,77.78,9,0.81,2,1
GK1.105,73.36,8.6,0.61,2,1
GK1.106,77.78,9.2,0.71,2,1
GK1.113,77.32,9.8,0.84,2,1
GK1.114,78.01,9.4,0.85,2,1
GK1.117,77.32,9.4,0.81,2,1
GK1.118,78.01,9.6,0.83,2,1
GK1.119,77.32,9,0.85,2,1
GK1.120,78.01,9.4,0.84,2,1
GK1.121,77.32,9,0.85,2,1
GK1.122,78.01,9,0.87,2,1
GK1.201,115.54,8.4,0.87,3,2
GK1.202,116.01,9,0.81,3,2
GK1.203,116.82,9,0.80,3,2
GK1.206A,80.29,7.8,0.74,2,1
GK1.206B,74.34,7,0.75,2,0
GK1.207A,75.63,6.8,0.77,2,0
GK1.207B,74.42,7.2,0.74,2,0
GK1.208A,80.06,5.4,0.82,2,0
GK1.208B,76.23,6.6,0.86,2,1
GK1.211,117.39,8.6,0.90,3,2
GK1.212,117.57,8.4,0.88,3,2
GK1.213,117.10,8.6,0.84,3,2
GK1.214,117.28,8.2,0.84,3,2
GK1.301,112.70,9,0.80,3,2
GK1.302,112.70,8.6,0.82,3,2
GK1.303,112.70,8.4,0.88,3,2
GK1.304,112.70,7.8,0.88,3,2
GK1.306,75.46,8.6,0.81,2,1
GK1.306B,62.72,8,0.72,2,1
GK1.307,62.72,8.6,0.66,2,1
GK1.307B,75.46,8.4,0.73,2,1
GK1.308,75.46,8.6,0.77,2,1
GK1.308B,75.46,8.4,0.82,2,1
GK1.311,112.70,8.6,0.86,3,2
GK1.312,112.70,8.6,0.83,3,2
GK1.313,112.70,9,0.89,3,2
GK1.314,112.70,8.6,0.89,3,2
GK1.404B,79.58,7.6,0.73,2,1
GK1.405,171.50,9,0.50,4,2
GK1.406,79.58,8.2,0.82,2,1
GK1.406B,79.58,7.6,0.89,2,1